"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198932|GPRASP1",1201.50488533317,0.508840394531815,0.0676386867875809,7.52291948141788,5.35664154284161e-14,2.0131320594701e-12
"ENSG00000158301|GPRASP2",1608.85474908424,0.546514835584008,0.0772742646064776,7.07240422626028,1.5227207736509e-12,4.66386342097069e-11
"ENSG00000198908|GPRASP3",166.005750927648,1.48950418373103,1.37771763100456,1.08113894328619,0.279635312674368,0.470300411129174
"ENSG00000125962|ARMCX5",793.218138603188,0.128550224630688,0.124383154858657,1.03350188196116,0.301369090261137,0.495308209334709
"ENSG00000286327",17.5184335630972,-0.209153913745712,0.675687241528625,-0.309542493761666,0.756908892875181,0.866150959308189
"ENSG00000286237|ARMCX5-GPRASP2",210.30880537733,-0.598193684359928,0.581939658770224,-1.0279307748574,0.303982391982698,0.49846420848861
"ENSG00000223546|LINC00630",278.221090313235,0.122299876442946,0.132200756104015,0.925107238771923,0.354910128058516,0.553143200406823
"ENSG00000229954|MTND2P2",2.51506437475695,-2.09494845598482,1.65630115722367,-1.26483547200825,0.205930312736643,NA
"ENSG00000239407",141.2598466264,0.579739564089981,0.170230357206161,3.40561797322599,0.000660144845498328,0.00331773462416807
"ENSG00000232282|MTND1P32",4.87799953029713,0.614906158399393,1.16845447843276,0.526255981511719,0.598710362658314,0.761689584893389
"ENSG00000237628|MTCO2P19",2.38157284163022,-0.98928496257151,1.93951138535874,-0.510069170018576,0.610003003258313,NA
"ENSG00000228316|MTATP6P19",1.86923195354608,-0.599719873085316,2.07493811740077,-0.289030245314772,0.772558232410378,NA
"ENSG00000234886|MTND5P26",3.22985656279719,0.0114220325176156,1.60240771594993,0.00712804388291679,0.994312691998217,NA
"ENSG00000229794|MTCYBP32",4.76253206564662,-0.396568207575638,1.06230954619927,-0.373307581574956,0.70891953437397,0.836807589879777
"ENSG00000286846",12.4513086575361,-0.790457244426458,0.699214753730039,-1.1304927995436,0.258268630806996,0.445314301179824
"ENSG00000133169|BEX1",1.33929487424876,-1.3908137052287,2.70914241478736,-0.513377848885759,0.607687037414848,NA
"ENSG00000102409|BEX4",430.690569627035,0.574859426710575,0.143072518754314,4.01795838722692,5.87045607470581e-05,0.000400019512597889
"ENSG00000133134|BEX2",20.6139200764916,0.420806127723726,0.706763241983545,0.59539900029708,0.551576793612954,0.725924257021291
"ENSG00000180964|TCEAL8",3825.43469698083,0.236719424718218,0.0547893577228138,4.32053658879907,1.55650243957131e-05,0.000123866951104839
"ENSG00000182916|TCEAL7",196.585035156745,0.546644710168454,0.145269940782314,3.76295816756474,0.000167915297850068,0.00100527476537219
"ENSG00000185222|TCEAL9",5526.26168534827,0.19366687037761,0.0523262301450976,3.70114319033843,0.000214630308883016,0.00125857716690524
"ENSG00000166681|BEX3",5074.24925989592,0.26602154504503,0.0559344357471818,4.75595295619716,1.97512464657765e-06,1.94785578620882e-05
"ENSG00000281091",42.2132393983407,0.0899237885894515,0.3189750963139,0.28191476271539,0.77800886946228,0.880125824623716
"ENSG00000172476|RAB40A",11.2911297166241,1.36898560541384,0.734848485661213,1.86294948159556,0.062469374144192,0.152574497177934
"ENSG00000234405",40.3224876908853,0.0717609316208143,0.323411435985619,0.221887427703717,0.824401517834305,0.907359043710366
"ENSG00000287619",12.5387573128739,0.878438062910486,1.00588714128064,0.873296841027418,0.382501301940901,0.579856152992779
"ENSG00000133142|TCEAL4",2289.70387138204,0.0448432121180492,0.0742646889494523,0.60382952857409,0.545956985307415,0.721508635845028
"ENSG00000279894",9.29092959230507,-0.25963567382626,0.912652021750282,-0.28448485034672,0.776038842310831,0.878990940696135
"ENSG00000224031|TCEAL3-AS1",2.83925174407121,-0.405391716560333,1.62733134068724,-0.249114428281785,0.803272269057258,NA
"ENSG00000196507|TCEAL3",1662.79893267272,-0.117210619635708,0.056880052859604,-2.06066298716383,0.0393352030759477,0.105755821830126
"ENSG00000172465|TCEAL1",1176.91587599109,0.188414295978545,0.0753391622661464,2.50088121915856,0.0123884721110266,0.0413835283939452
"ENSG00000235946|H2BW3P",4.21145959714959,-1.13861760744739,1.04009490544359,-1.09472472318455,0.27363725394127,0.463310807915173
"ENSG00000269226|TMSB15C",133.030928354551,0.361508443449514,0.186118470843866,1.94235661732243,0.052093943337292,0.132363926194328
"ENSG00000166707|ZCCHC18",23.0420215944813,0.710939893209943,0.533911389810443,1.33156907078224,0.183001834019096,0.346721069485903
"ENSG00000269743|SLC25A53",142.876967037276,0.0464599425374422,0.192530113299947,0.24131260165552,0.809312844738339,0.898671598996607
"ENSG00000288597",1.808515586695,0.647695766320878,2.51510008412084,0.257522859790004,0.796775170664041,NA
"ENSG00000123560|PLP1",1.83205363635992,4.35192972325022,2.70231230424796,1.61044662247554,0.107300389402535,NA
"ENSG00000231728|TMSB15B-AS1",7.81970638137196,-0.249088867366687,0.784734159398037,-0.31741815286563,0.750926334865535,0.862518942870826
"ENSG00000230312|SLC25A53P1",2.02046876177305,-1.02432125409297,1.4882263949664,-0.688283219245082,0.491274446953122,NA
"ENSG00000123570|RAB9B",46.0704435367139,0.0473872250252065,0.377276044683931,0.125603588388194,0.900045722331831,0.950010306988378
"ENSG00000234345|ELF2P1",1.304354306936,0.221873349605343,2.76907226613446,0.0801255179645678,0.936137427591558,NA
"ENSG00000158427|TMSB15B",82.5850200781982,-0.122544248219924,0.221058025083418,-0.55435331141532,0.579337071923244,0.746894918706534
"ENSG00000291310",2.78630824009652,-1.61616187343192,1.62075387705858,-0.99716674833134,0.318683578153566,NA
"ENSG00000123562|MORF4L2",15232.5860697873,-0.24105078726019,0.0359228740161613,-6.71023112325992,1.94316387721973e-11,5.0599890325904e-10
"ENSG00000231154|MORF4L2-AS1",11.8814553145637,-1.38245572646059,0.623968577561255,-2.21558548967936,0.0267199035253751,0.0775137340378685
"ENSG00000123575|FAM199X",2488.34221724275,-0.199240984664394,0.0572151446378578,-3.48231199843129,0.000497104139304787,0.00260648520302143
"ENSG00000123572|NRK",143.131604799598,-0.270225125341532,0.15981445341052,-1.69086787568204,0.0908620399536137,0.204466547562032
"ENSG00000147231|RADX",17.833450781603,0.160204241014856,0.659474302571923,0.242927192750446,0.808061799671595,0.897856009884409
"ENSG00000133135|RNF128",16.8782404260388,0.165281315901323,0.437033406680138,0.378189203330837,0.705290045402767,0.834507760723825
"ENSG00000189108|IL1RAPL2",21.8990994640402,0.0299581734107541,0.720575965683601,0.0415753159104234,0.966837251272968,0.983320028534574
"ENSG00000133138|TBC1D8B",696.027714451342,0.231848558250216,0.0887812308478147,2.61145915680806,0.00901567563441507,0.0317489384404237
"ENSG00000133131|MORC4",2752.10742887091,0.0268358332744714,0.0568591764889159,0.471970136248857,0.636948104826813,0.788642026028593
"ENSG00000198088|NUP62CL",6.13906579795574,0.548703685767728,1.42687389035087,0.384549531306374,0.700571191965407,0.831248303203508
"ENSG00000089682|RBM41",1066.55661239337,0.184020281319388,0.0761556941946338,2.41636929799472,0.0156761530874343,0.0503113096011239
"ENSG00000147224|PRPS1",1394.38520336506,-0.600237837751413,0.0922838383825815,-6.50425738971762,7.80781130554639e-11,1.82164796656696e-09
